



output: txt
equal:  abs(1_leppt-2_leppt)<0.02
LF:     data/LF_cem_data_2jME.txt_JEToutput_test.txt data/LF_cem_data_3jME.txt_JEToutput.txt data/LF_cmup_data_2jME.txt_JEToutput_test.txt data/LF_cmup_data_3jME.txt_JEToutput.txt data/LF_cmx_data_2jME.txt_JEToutput_test.txt data/LF_cmx_data_3jME.txt_JEToutput.txt data/LF_phx_data_2jME.txt_JEToutput_test.txt data/LF_phx_data_3jME.txt_JEToutput.txt
ME:     data/ME_2jet.txt data/ME_2jetnewMuons.txt data/ME_3jet.txt data/ME_3jetnewMuons.txt
NN:     data/NN_2jet1tag.txt data/NN_2jet2tag.txt data/NN_3jet1tag.txt data/NN_3jet2tag.txt
ME loaded:    2249
NN loaded:    1980
NN used:      1980 (100.0%)
NN rematched: 0
LF: Found key but didn't find particle run: 245986, event: 0, det: 1, njets: 3, ntags: 1, totweight: 1, leppt: 49.942119, lf: 0.034393
LF: Found key but didn't find particle run: 237705, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 58.848654, lf: 0.151652
LF: Found key but didn't find particle run: 236503, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 20.640262, lf: 0.059753
LF: Found key but didn't find particle run: 236653, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 32.293296, lf: 0.118061
LF: Found key but didn't find particle run: 236580, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 43.258404, lf: 0.072526
LF: Found key but didn't find particle run: 236585, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 26.018771, lf: 0.001552
LF: Found key but didn't find particle run: 236585, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 45.956064, lf: 0.013823
LF: Found key but didn't find particle run: 236780, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 29.786606, lf: 0.007405
LF: Found key but didn't find particle run: 236781, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 47.117119, lf: 0.014000
LF: Found key but didn't find particle run: 236806, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 21.918726, lf: 0.090304
LF: Found key but didn't find particle run: 237105, event: 0, det: 11, njets: 2, ntags: 1, totweight: 1, leppt: 33.387127, lf: 0.101512
